id,ID,Commanditaire_Collectivite_locale,nbre_marches_CT,type_marche,Commanditaire_adresse,Commanditaire_CP,montant_ou_moyenne,nom_frn,type_frn,lib93_independant,cp_frn,adresse_frn,ville_frn,adresse_cp_command,adresse_cp_frn,lat_long_frn,lat_long_comm,command_variant_address
42,43,LE-BOURGET,marché 1,livres scolaires,65 avenue de la Division Leclerc,93350,11500,librairie générale,LGE,oui,93150,52 avenue Henri Barbusse,LE-BLANC-MESNIL,"65 avenue de la Division Leclerc, LE-BOURGET, France","52 avenue Henri Barbusse, LE-BLANC-MESNIL, France","48.9391082,2.4615627","48.9348227,2.4250513","65 avenue de la Division Leclerc, 93350, France"
43,44,LE-RAINCY,marché 1,livres scolaires,121 avenue de la Résistance,93340,10000,Pichon papeterie,GFS,non,42350,97 rue Jean Perrin,LA TALAUDIÈRE,"121 avenue de la Résistance, LE-RAINCY, France","97 rue Jean Perrin, LA TALAUDIÈRE, France","45.4667536,4.4225466","48.89826350000001,2.5161124","121 avenue de la Résistance, 93340, France"
44,45,LES-LILAS,marché 1,services de la collectivité locale dont livres scolaires,96 rue de Paris,93260,18957,biblioteca,X,non,75006,14 rue Serpente,PARIS,"96 rue de Paris, LES-LILAS, France","14 rue Serpente, PARIS, France","48.8520214,2.3429838","48.87957040000001,2.4155663","96 rue de Paris, 93260, France"
45,46,LIVRY-GARGAN,marché 1,médiathèque,10 avenue du Consul Général Nordling,93190,900,ABRAKADABRA,ETR,non,38500,8 avenue Marie Curie,VOIRON,"10 avenue du Consul Général Nordling, LIVRY-GARGAN, France","8 avenue Marie Curie, VOIRON, France","45.3708614,5.5855627","48.918764,2.5364749","10 avenue du Consul Général Nordling, 93190, France"
46,47,LIVRY-GARGAN,marché 1,médiathèque,10 avenue du Consul Général Nordling,93190,1900,Diff 3000,X,non,37250,28 rue des Partenais,VEIGNE,"10 avenue du Consul Général Nordling, LIVRY-GARGAN, France","28 rue des Partenais, VEIGNE, France","47.27734299999999,0.741805","48.918764,2.5364749","10 avenue du Consul Général Nordling, 93190, France"
47,48,LIVRY-GARGAN,marché 1,médiathèque,10 avenue du Consul Général Nordling,93190,1700,espace lune et soleil,LP,non,94600,15 avenue de la Folie,CHOISY-LE-ROI,"10 avenue du Consul Général Nordling, LIVRY-GARGAN, France","15 avenue de la Folie, CHOISY-LE-ROI, France","48.7720699,2.418169","48.918764,2.5364749","10 avenue du Consul Général Nordling, 93190, France"
48,49,LIVRY-GARGAN,marché 1,médiathèque,10 avenue du Consul Général Nordling,93190,8400,espace lune et soleil,LP,non,94600,15 avenue de la Folie,CHOISY-LE-ROI,"10 avenue du Consul Général Nordling, LIVRY-GARGAN, France","15 avenue de la Folie, CHOISY-LE-ROI, France","48.7720699,2.418169","48.918764,2.5364749","10 avenue du Consul Général Nordling, 93190, France"
49,50,LIVRY-GARGAN,marché 1,médiathèque,10 avenue du Consul Général Nordling,93190,36000,SFL,GFS,non,93200,4 rue Saint-Christophe,SAINT-DENIS,"10 avenue du Consul Général Nordling, LIVRY-GARGAN, France","4 rue Saint-Christophe, SAINT-DENIS, France","48.914348,2.3829634","48.918764,2.5364749","10 avenue du Consul Général Nordling, 93190, France"
50,51,NEUILLY-PLAISANCE,marché 1,médiathèque,10 avenue du Consul Général Nordling,93190,40000,Libr'est,GFS,non,94200,128 bis avenue Jean Jaurès,IVRY-SUR-SEINE,"10 avenue du Consul Général Nordling, NEUILLY-PLAISANCE, France","128 bis avenue Jean Jaurès, IVRY-SUR-SEINE, France","48.8052596,2.405024","48.865205,2.509142","10 avenue du Consul Général Nordling, 93190, France"
51,52,NOISY-LE-GRAND,marché 1,"non scolaires ""livres de récompense""",Place de la Libération,93160,22500,folie d'encre noisylegrand,LGE,oui,93160,5 allée Lino Ventura,NOISY-LE-GRAND,"Place de la Libération, NOISY-LE-GRAND, France","5 allée Lino Ventura, NOISY-LE-GRAND, France","48.84854379999999,2.553573","48.8490887,2.5524122","Place de la Libération, 93160, France"
